gene,baseMean,log2FoldChange,Direction,Endogenous_Promoter,Exogenous_Promoter
Abcg2,230.7975111,0.82521588,UP,FALSE,TRUE
AW551984,581.2864564,0.749895631,UP,FALSE,TRUE
Bend5,155.1324455,0.577848851,UP,FALSE,TRUE
Cgn,176.0273102,0.683604712,UP,FALSE,TRUE
Crhr2,85.6680422,0.805205696,UP,FALSE,TRUE
Csrp2,237.3457204,0.778173081,UP,FALSE,TRUE
Efcc1,126.6552914,0.658520268,UP,FALSE,TRUE
Eif2b3,433.6996287,0.502615128,UP,FALSE,TRUE
Fam183b,57.00260365,1.363754487,UP,FALSE,TRUE
Fbln2,88.19735481,0.821162042,UP,FALSE,TRUE
Fchsd1,191.1027943,0.672705665,UP,FALSE,TRUE
Fibin,64.32592773,1.048313522,UP,FALSE,TRUE
Gap43,17555.34275,0.565220118,UP,FALSE,TRUE
Gdf11,709.8836794,0.517272233,UP,FALSE,TRUE
Gls2,117.1355995,0.917549234,UP,FALSE,TRUE
Gpr139,87.61304972,0.85421715,UP,FALSE,TRUE
Hmgn5,409.8601266,0.712161744,UP,FALSE,TRUE
Mycl,1151.471704,0.722619101,UP,FALSE,TRUE
Ndufs6,1621.469265,0.506209347,UP,FALSE,TRUE
Pafah1b3,400.9273341,0.611483935,UP,FALSE,TRUE
Pls3,5878.384631,0.615604423,UP,FALSE,TRUE
Rab26,459.2732896,0.673237554,UP,FALSE,TRUE
Rdh11,1201.248565,0.549130151,UP,FALSE,TRUE
Scube1,533.6977464,0.539427535,UP,FALSE,TRUE
Suox,223.2645526,0.561005958,UP,FALSE,TRUE
Thbd,57.78898031,1.155386834,UP,FALSE,TRUE
Tmem163,303.7449625,0.514071745,UP,FALSE,TRUE
Tmsb10,8857.080317,0.550702337,UP,FALSE,TRUE
Ubl5,3594.438472,0.541937116,UP,FALSE,TRUE
Ankrd63,202.4696893,-0.536667607,DOWN,FALSE,TRUE
Arhgap29,118.4108741,-1.003244615,DOWN,FALSE,TRUE
Arhgef28,635.0107556,-0.770076024,DOWN,FALSE,TRUE
Bsn,5834.54647,-0.577973918,DOWN,FALSE,TRUE
Cap2,3241.927847,-0.637369413,DOWN,FALSE,TRUE
Ccser1,235.9624778,-0.53626631,DOWN,FALSE,TRUE
Cd46,238.7759835,-0.577523062,DOWN,FALSE,TRUE
Cdh4,1971.302662,-0.638931508,DOWN,FALSE,TRUE
Cdh8,792.6882712,-0.780702548,DOWN,FALSE,TRUE
Cdkl4,139.3484121,-0.744690783,DOWN,FALSE,TRUE
Col25a1,1176.761395,-0.950117368,DOWN,FALSE,TRUE
Col4a2,626.7838475,-0.528954069,DOWN,FALSE,TRUE
Cpne6,1841.343593,-0.534773263,DOWN,FALSE,TRUE
Crim1,1933.873925,-0.579990846,DOWN,FALSE,TRUE
Crybg3,184.6468236,-0.795510544,DOWN,FALSE,TRUE
Cxcl12,182.8210547,-0.971031634,DOWN,FALSE,TRUE
Dcc,670.2768964,-0.6900701,DOWN,FALSE,TRUE
Dgkg,2640.701083,-0.612566624,DOWN,FALSE,TRUE
Esrrg,185.3582481,-0.701675772,DOWN,FALSE,TRUE
Etl4,782.7873489,-0.51612758,DOWN,FALSE,TRUE
Fbxl16,7281.764366,-0.547959741,DOWN,FALSE,TRUE
Fhl2,350.9178005,-0.615143131,DOWN,FALSE,TRUE
Gpr88,1281.594287,-0.656305298,DOWN,FALSE,TRUE
Heg1,366.1741442,-0.572911513,DOWN,FALSE,TRUE
Kcnd2,1269.058944,-0.68439798,DOWN,FALSE,TRUE
Kcnj6,303.8647453,-0.633269719,DOWN,FALSE,TRUE
Kcnk2,1126.19171,-0.518335355,DOWN,FALSE,TRUE
Kcnt2,416.863675,-0.648212436,DOWN,FALSE,TRUE
Lingo2,601.3434032,-0.505513816,DOWN,FALSE,TRUE
Lrrtm4,333.8676321,-0.724425888,DOWN,FALSE,TRUE
Mcc,171.5595816,-0.577869109,DOWN,FALSE,TRUE
Megf11,579.8710827,-0.516279607,DOWN,FALSE,TRUE
Myo16,1032.653045,-0.579674598,DOWN,FALSE,TRUE
Neurl1a,1859.345965,-0.566515949,DOWN,FALSE,TRUE
Npas2,410.8161573,-0.86789866,DOWN,FALSE,TRUE
Nyap2,1232.055371,-0.515169687,DOWN,FALSE,TRUE
Pip5k1b,332.2677616,-0.547119423,DOWN,FALSE,TRUE
Pom121,1024.250943,-0.535759929,DOWN,FALSE,TRUE
Rasgef1c,264.2202934,-0.626972371,DOWN,FALSE,TRUE
Retreg1,1007.075053,-0.501378781,DOWN,FALSE,TRUE
Ryr2,3463.711688,-0.508089003,DOWN,FALSE,TRUE
Sdk1,216.344835,-0.683171124,DOWN,FALSE,TRUE
Six3,187.4003265,-0.503328878,DOWN,FALSE,TRUE
Sorbs2,4134.802268,-0.580291634,DOWN,FALSE,TRUE
Srgap1,520.1489442,-0.559824176,DOWN,FALSE,TRUE
Stum,5599.827381,-0.632056567,DOWN,FALSE,TRUE
Tafa1,1408.483703,-0.560337945,DOWN,FALSE,TRUE
Tcerg1l,334.1058826,-0.825882359,DOWN,FALSE,TRUE
Tmem8b,1831.817654,-0.512110838,DOWN,FALSE,TRUE
Vwc2l,135.3151693,-0.645037077,DOWN,FALSE,TRUE
Zfp385b,466.7788748,-0.664687318,DOWN,FALSE,TRUE
